fielder,role,innings_fielded,balls_in_field,keeper_balls,outfield_balls,unknown_balls,keeper_share,catches,run_outs,stumpings,runs_saved,expected_runs_saved,fraa,fraa_per_100,fraa_per_100_raw,wpa,wpaa
YV Takawale,keeper,16,1864,1541,323,0,0.827,13.0,5.0,4.0,63.678,28.707,34.97,1.141,1.876,0.185,0.03
Anuj Rawat,outfield,24,2803,0,2679,124,0.0,18.0,2.0,0.0,52.728,16.905,35.823,0.895,1.278,0.462,0.362
Sohail Tanvir,outfield,11,1307,0,1307,0,0.0,4.0,3.0,0.0,26.316,7.884,18.432,0.735,1.41,0.143,0.097
SP Jackson,keeper,9,1079,592,247,240,0.549,7.0,2.0,2.0,29.337,13.211,16.127,0.708,1.495,0.195,0.123
SS Prabhudessai,outfield,11,1293,0,1293,0,0.0,10.0,3.0,0.0,25.32,7.8,17.52,0.703,1.355,0.22,0.174
HH Gibbs,outfield,36,4396,0,4396,0,0.0,22.0,5.0,0.0,65.733,26.518,39.215,0.701,0.892,0.241,0.085
AA Jhunjhunwala,outfield,21,2493,0,2493,0,0.0,10.0,4.0,0.0,40.046,15.038,25.008,0.677,1.003,0.173,0.084
N Saini,keeper,10,1226,1226,0,0,1.0,11.0,2.0,2.0,35.918,21.289,14.629,0.603,1.193,0.51,0.396
Rahmanullah Gurbaz,keeper,18,2151,1291,860,0,0.6,17.0,1.0,0.0,47.65,27.605,20.044,0.598,0.932,0.115,-0.036
XC Bartlett,outfield,13,1452,0,1452,0,0.0,15.0,0.0,0.0,24.187,8.759,15.428,0.582,1.063,0.3,0.248
A Manohar,outfield,27,3177,0,3050,127,0.0,17.0,2.0,0.0,43.361,19.161,24.201,0.553,0.762,0.32,0.208
GJ Bailey,outfield,40,4680,0,4680,0,0.0,12.0,6.0,0.0,59.796,28.231,31.565,0.537,0.674,0.454,0.288
C Green,outfield,42,5143,0,5143,0,0.0,18.0,3.0,0.0,64.918,31.024,33.894,0.534,0.659,0.17,-0.012
LR Shukla,outfield,47,5309,0,4374,935,0.0,15.0,6.0,0.0,66.482,31.998,34.484,0.53,0.65,0.194,0.007
M Rawat,keeper,18,2145,2021,124,0,0.942,16.0,9.0,2.0,52.847,35.842,17.005,0.508,0.793,0.279,0.086
SPD Smith,outfield,103,12416,0,12416,0,0.0,54.0,10.0,0.0,141.032,74.896,66.136,0.486,0.533,0.887,0.447
PD Salt,outfield,40,4775,1410,3236,129,0.295,32.0,6.0,0.0,73.781,44.779,29.002,0.485,0.607,0.354,0.103
JP Inglis,outfield,16,1716,92,1624,0,0.054,10.0,0.0,1.0,24.919,11.394,13.525,0.464,0.788,0.055,-0.011
D Ferreira,outfield,18,2164,0,2164,0,0.0,16.0,0.0,0.0,28.575,13.054,15.521,0.461,0.717,0.111,0.035
RT Ponting,outfield,10,1177,0,1059,118,0.0,4.0,0.0,0.0,17.644,7.096,10.547,0.444,0.896,0.058,0.016
Anand Rajan,outfield,8,974,0,974,0,0.0,3.0,2.0,0.0,15.427,5.875,9.552,0.439,0.981,0.133,0.099
BCJ Cutting,outfield,21,2544,0,2544,0,0.0,10.0,2.0,0.0,31.56,15.346,16.214,0.433,0.637,0.212,0.122
AC Gilchrist,keeper,80,9519,7850,1061,608,0.825,51.0,20.0,16.0,192.456,146.362,46.094,0.43,0.484,1.066,0.275
D Brevis,outfield,27,3228,0,3228,0,0.0,22.0,1.0,0.0,38.386,19.472,18.914,0.427,0.586,0.27,0.156
RD Rickelton,keeper,26,3099,2990,109,0,0.965,20.0,4.0,5.0,70.769,52.578,18.191,0.423,0.587,0.348,0.065
MW Short,outfield,9,1038,0,1038,0,0.0,7.0,0.0,0.0,15.671,6.261,9.41,0.42,0.907,0.069,0.032
RA Bawa,outfield,8,977,0,516,461,0.0,6.0,1.0,0.0,14.793,5.88,8.913,0.409,0.912,0.037,0.002
DJ Bravo,outfield,160,19125,0,18674,451,0.0,69.0,14.0,0.0,198.381,115.353,83.027,0.408,0.434,0.972,0.296
MV Boucher,outfield,31,3672,1038,2184,450,0.283,14.0,7.0,3.0,53.354,33.9,19.454,0.399,0.53,0.381,0.191
Lalit Yadav,outfield,27,3346,0,3100,246,0.0,18.0,2.0,0.0,38.242,20.177,18.066,0.397,0.54,0.091,-0.027
AUK Pathan,outfield,8,981,0,981,0,0.0,2.0,1.0,0.0,14.492,5.918,8.574,0.393,0.874,0.0,-0.035
J Fraser-McGurk,outfield,15,1844,0,1844,0,0.0,8.0,1.0,0.0,22.838,11.123,11.715,0.385,0.635,0.016,-0.049
S Ladda,outfield,9,1097,0,972,125,0.0,1.0,2.0,0.0,15.086,6.614,8.473,0.369,0.772,0.0,-0.039
Dhruv Jurel,outfield,57,7011,2569,4442,0,0.366,37.0,5.0,1.0,101.312,71.405,29.907,0.364,0.427,0.354,-0.043
KC Sangakkara,keeper,71,8405,4812,3360,233,0.573,45.0,11.0,9.0,139.939,105.225,34.714,0.361,0.413,1.169,0.594
Ramandeep Singh,outfield,37,4388,0,4388,0,0.0,21.0,2.0,0.0,46.649,26.469,20.18,0.361,0.46,0.206,0.051
GD Phillips,outfield,14,1654,0,1532,122,0.0,11.0,0.0,0.0,20.163,9.974,10.189,0.357,0.616,0.059,0.001
MA Starc,outfield,56,6455,0,6455,0,0.0,30.0,4.0,0.0,65.946,38.938,27.008,0.353,0.418,0.347,0.119
Tilak Varma,outfield,68,8174,0,7932,242,0.0,44.0,4.0,0.0,82.308,49.3,33.007,0.352,0.404,0.393,0.104
MJ Guptill,outfield,13,1493,0,1266,227,0.0,7.0,0.0,0.0,18.441,8.999,9.441,0.351,0.632,0.196,0.144
TH David,outfield,66,7939,0,7939,0,0.0,32.0,4.0,0.0,79.826,47.89,31.936,0.349,0.402,0.25,-0.03
DT Christian,outfield,49,5937,0,5937,0,0.0,28.0,4.0,0.0,60.351,35.813,24.537,0.344,0.413,0.394,0.184
Naman Dhir,outfield,37,4409,0,4167,242,0.0,24.0,1.0,0.0,45.594,26.589,19.005,0.339,0.431,0.281,0.125
A Mithun,outfield,16,1938,0,1938,0,0.0,7.0,1.0,0.0,22.274,11.69,10.584,0.337,0.546,0.038,-0.03
CL White,outfield,47,5598,0,5354,244,0.0,22.0,4.0,0.0,56.364,33.761,22.603,0.332,0.404,0.487,0.29
BA Stokes,outfield,45,5344,0,5344,0,0.0,23.0,2.0,0.0,53.936,32.236,21.7,0.332,0.406,0.358,0.169
C Bosch,outfield,9,1094,0,1094,0,0.0,6.0,1.0,0.0,14.0,6.599,7.401,0.323,0.676,0.037,-0.001
Kamran Khan,outfield,9,1073,0,1073,0,0.0,4.0,2.0,0.0,13.769,6.473,7.297,0.321,0.68,0.095,0.057
Nithish Kumar Reddy,outfield,42,4971,0,4971,0,0.0,22.0,2.0,0.0,49.37,29.986,19.384,0.314,0.39,0.175,-0.001
V Kohli,outfield,281,33359,0,32991,368,0.0,126.0,20.0,0.0,307.949,201.218,106.731,0.309,0.32,1.375,0.195
SO Hetmyer,outfield,94,11546,0,11546,0,0.0,50.0,5.0,0.0,108.904,69.648,39.256,0.308,0.34,0.551,0.143
DR Sams,outfield,16,1933,0,1933,0,0.0,11.0,0.0,0.0,21.159,11.66,9.499,0.303,0.491,0.148,0.08
KA Pollard,outfield,189,22855,0,22305,550,0.0,97.0,13.0,0.0,210.649,137.851,72.798,0.303,0.319,1.603,0.794
